Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,524,488,679,759,945,386,1013,0.0,False
jmeter_view_issue,5515,377,353,464,519,744,236,1343,0.0,False
jmeter_search_jql,4245,861,820,1036,1126,1693,483,3215,0.0,False
jmeter_app_specific_action,12668,1112,1088,1291,1361,1607,793,2449,0.0,True
jmeter_browse_projects,3397,137,127,178,200,280,81,605,0.0,False
jmeter_view_scrum_board,2964,343,322,438,492,732,179,1394,0.0,False
jmeter_view_kanban_board,2535,392,373,480,531,755,224,1419,0.0,False
jmeter_view_backlog,2115,609,576,732,820,1205,333,2914,0.0,False
jmeter_edit_issue:open_editor,1698,195,180,253,279,382,128,604,0.0,False
jmeter_edit_issue:save_edit,1698,554,510,713,849,1230,305,1678,0.0,False
jmeter_create_issue:open_quick_create,1274,95,87,131,150,194,58,291,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1274,381,370,462,489,577,276,723,0.0,False
jmeter_view_dashboard,3811,243,228,306,345,489,142,957,0.0,False
jmeter_view_project_summary,845,231,216,295,334,448,138,856,0.0,False
jmeter_add_comment:open_comment,841,151,139,193,218,307,98,561,0.0,False
jmeter_add_comment:save_comment,841,503,486,603,645,893,372,1451,0.0,False
jmeter_browse_boards,415,155,142,194,219,347,110,465,0.0,False
selenium_login:open_login_page,132,1210,1203,1219,1245,1265,1173,1733,0.0,False
selenium_login:login_and_view_dashboard,132,2238,2210,3385,3539,3672,595,3724,0.0,False
selenium_login,132,3467,3444,4591,4755,4893,1829,4953,0.0,False
selenium_project_summary,132,369,360,402,436,562,314,574,0.0,False
selenium_browse_projects_list,132,297,291,327,343,448,240,467,0.0,False
selenium_browse_boards_list,132,272,226,282,381,1612,197,1923,0.0,False
selenium_create_issue:open_quick_create,132,1468,1472,2015,2087,2234,695,2250,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,132,1358,1365,1923,1995,2047,633,2216,0.0,False
selenium_create_issue:fill_and_submit_issue_form,132,2042,2076,2618,2668,2811,1297,2871,0.0,False
selenium_create_issue,132,3511,3536,4635,4772,4924,2088,4988,0.0,False
selenium_edit_issue:open_edit_issue_form,132,510,494,568,626,681,434,830,0.0,False
selenium_edit_issue:save_edit_issue_form,132,767,738,850,957,1200,617,1763,0.0,False
selenium_edit_issue,132,2065,2046,2252,2321,2574,1833,3088,0.0,False
selenium_save_comment:open_comment_form,132,238,232,267,292,354,176,405,0.0,False
selenium_save_comment:submit_form,132,724,716,800,834,889,626,893,0.0,False
selenium_save_comment,132,2307,2354,2873,2919,2960,1179,2974,0.0,False
selenium_search_jql,132,1675,1714,2187,2252,2336,997,2521,0.0,False
selenium_view_scrum_board_backlog,132,1761,1819,2255,2530,2764,786,2913,0.0,False
selenium_view_scrum_board,132,1508,1520,2047,2122,2237,774,2271,0.0,False
selenium_view_kanban_board,132,1646,1519,2092,2275,5906,747,6039,0.0,False
selenium_view_dashboard,132,252,244,293,340,374,193,449,0.0,False
selenium_view_issue,132,514,501,585,622,675,429,680,0.0,False
selenium_log_out,132,453,354,422,1061,2389,323,3058,0.0,False
