Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,2,606,606,637,641,644,566,645,0.0,False
jmeter_view_issue,59,340,308,436,466,682,267,867,0.0,False
jmeter_app_specific_action,137,748,723,908,947,1147,585,1213,0.0,True
jmeter_browse_projects,37,120,106,134,171,299,89,301,0.0,False
jmeter_search_jql,46,465,435,590,632,810,355,890,0.0,False
jmeter_view_dashboard,41,233,219,297,303,309,183,312,0.0,False
jmeter_view_scrum_board,32,307,284,374,423,524,224,546,0.0,False
jmeter_view_kanban_board,27,259,227,338,374,497,198,535,0.0,False
jmeter_view_backlog,22,308,292,354,495,519,229,523,0.0,False
jmeter_edit_issue:open_editor,18,172,159,220,269,289,135,294,0.0,False
jmeter_edit_issue:save_edit,18,390,386,549,600,634,234,643,0.0,False
jmeter_create_issue:open_quick_create,14,53,47,64,85,113,37,120,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,14,220,206,270,318,370,168,383,0.0,False
jmeter_view_project_summary,9,216,209,274,295,312,163,316,0.0,False
jmeter_add_comment:open_comment,9,176,135,225,370,487,115,516,0.0,False
jmeter_add_comment:save_comment,9,428,381,503,672,807,342,841,0.0,False
jmeter_browse_boards,4,133,130,150,154,157,115,158,0.0,False
selenium_login:open_login_page,18,1303,1260,1287,1412,1971,1217,2111,0.0,False
selenium_login:login_and_view_dashboard,18,1289,1026,1634,1938,3178,835,3488,0.0,False
selenium_login,18,2634,2318,2913,3341,5184,2130,5645,0.0,False
selenium_project_summary,18,633,482,556,948,2598,436,3011,0.0,False
selenium_browse_projects_list,18,268,268,297,326,389,211,405,0.0,False
selenium_browse_boards_list,18,342,242,298,562,1697,209,1981,0.0,False
selenium_create_issue:open_quick_create,18,890,862,1027,1091,1324,709,1382,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,18,807,821,933,940,943,679,944,0.0,False
selenium_create_issue:fill_and_submit_issue_form,18,1612,1638,1759,1792,1805,1342,1808,0.0,False
selenium_create_issue,18,2503,2474,2756,2789,2800,2225,2803,0.0,False
selenium_edit_issue:open_edit_issue_form,18,579,440,828,920,1261,396,1346,0.0,False
selenium_edit_issue:save_edit_issue_form,18,914,768,900,1264,2849,685,3245,0.0,False
selenium_edit_issue,18,2217,2028,2183,2845,5155,1852,5733,0.0,False
selenium_save_comment:open_comment_form,18,343,332,416,427,429,248,430,0.0,False
selenium_save_comment:submit_form,18,748,722,845,871,893,664,898,0.0,False
selenium_save_comment,18,1892,1932,2130,2154,2215,1288,2230,0.0,False
selenium_search_jql,18,928,812,1156,1885,2815,520,3048,0.0,False
selenium_view_scrum_board_backlog,18,1204,1151,1232,1521,2802,868,3122,0.0,False
selenium_view_scrum_board,18,1131,1015,1120,1386,2575,900,2872,0.0,False
selenium_view_kanban_board,18,986,989,1089,1113,1134,788,1139,0.0,False
selenium_view_dashboard,18,383,380,448,459,483,294,489,0.0,False
selenium_view_issue,18,577,583,618,634,669,495,678,0.0,False
selenium_log_out,18,598,496,1032,1168,1246,440,1265,0.0,False
