Summary run status                                                     FAIL
               
Artifacts dir                                                          2025-05-09_11-34-09 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    8.7.0 (OK: Toolkit is up to date)
Application                                                            jira 10.3.4         
Dataset info                                                           428 issues          
Application nodes count                                                1                   
Available Processors                                                   1                   
Deployment                                                             other               
Concurrency                                                            2                   
Expected test run duration from yml file                               300 sec             
Actual test run duration                                               311 sec             
Finished                                                               (True, 'OK')        
Compliant                                                              (False, 'Test run duration 311 sec < than minimum test duration 2700 sec. Test run concurrency 2 < than minimum test concurrency 200.')
Success                                                                (True, 'OK')        
Has app-specific actions                                               True                

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               0.64                OK                  
jmeter_view_issue                                                      100.0               0.44                OK                  
jmeter_browse_projects                                                 100.0               0.13                OK                  
jmeter_search_jql                                                      100.0               0.59                OK                  
jmeter_view_dashboard                                                  100.0               0.3                 OK                  
jmeter_view_scrum_board                                                100.0               0.37                OK                  
jmeter_view_kanban_board                                               100.0               0.34                OK                  
jmeter_view_backlog                                                    100.0               0.35                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.22                OK                  
jmeter_edit_issue:save_edit                                            100.0               0.55                OK                  
jmeter_create_issue:open_quick_create                                  100.0               0.06                OK                  
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.27                OK                  
jmeter_view_project_summary                                            100.0               0.27                OK                  
jmeter_add_comment:open_comment                                        100.0               0.23                OK                  
jmeter_add_comment:save_comment                                        100.0               0.5                 OK                  
jmeter_browse_boards                                                   100.0               0.15                OK                  
selenium_login:open_login_page                                         100.0               1.29                OK                  
selenium_login:login_and_view_dashboard                                100.0               1.63                OK                  
selenium_login                                                         100.0               2.91                OK                  
selenium_project_summary                                               100.0               0.56                OK                  
selenium_browse_projects_list                                          100.0               0.3                 OK                  
selenium_browse_boards_list                                            100.0               0.3                 OK                  
selenium_create_issue:open_quick_create                                100.0               1.03                OK                  
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.93                OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.76                OK                  
selenium_create_issue                                                  100.0               2.76                OK                  
selenium_edit_issue:open_edit_issue_form                               100.0               0.83                OK                  
selenium_edit_issue:save_edit_issue_form                               100.0               0.9                 OK                  
selenium_edit_issue                                                    100.0               2.18                OK                  
selenium_save_comment:open_comment_form                                100.0               0.42                OK                  
selenium_save_comment:submit_form                                      100.0               0.84                OK                  
selenium_save_comment                                                  100.0               2.13                OK                  
selenium_search_jql                                                    100.0               1.16                OK                  
selenium_view_scrum_board_backlog                                      100.0               1.23                OK                  
selenium_view_scrum_board                                              100.0               1.12                OK                  
selenium_view_kanban_board                                             100.0               1.09                OK                  
selenium_view_dashboard                                                100.0               0.45                OK                  
selenium_view_issue                                                    100.0               0.62                OK                  
selenium_log_out                                                       100.0               1.03                OK                  
jmeter_app_specific_action                                             100.0               0.91                OK                  APP-SPECIFIC        
