Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,2,492,492,524,528,531,451,532,0.0,False
jmeter_view_issue,155,286,282,341,369,403,225,458,0.0,False
jmeter_search_jql,50,374,372,439,454,479,307,499,0.0,False
jmeter_view_dashboard,46,205,193,260,269,324,161,334,0.0,False
jmeter_browse_projects,41,101,97,124,141,160,84,163,0.0,False
jmeter_view_scrum_board,36,250,242,287,346,363,205,370,0.0,False
jmeter_view_backlog,27,249,242,289,312,336,203,341,0.0,False
jmeter_view_kanban_board,31,215,205,264,290,299,172,300,0.0,False
jmeter_create_issue:open_quick_create,18,42,39,50,53,63,34,66,0.0,False
jmeter_edit_issue:open_editor,23,136,135,151,151,154,120,155,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,18,204,208,229,238,240,157,241,0.0,False
jmeter_edit_issue:save_edit,23,315,309,392,409,432,228,438,0.0,False
jmeter_view_project_summary,14,187,180,240,243,246,155,247,0.0,False
jmeter_add_comment:open_comment,9,125,120,145,167,185,104,189,0.0,False
jmeter_add_comment:save_comment,9,337,320,398,418,434,288,438,0.0,False
jmeter_browse_boards,4,116,116,127,127,128,103,128,0.0,False
selenium_login:open_login_page,20,1269,1230,1266,1307,1868,1206,2008,0.0,False
selenium_login:login_and_view_dashboard,20,1440,1475,1710,1773,1995,808,2051,0.0,False
selenium_login,20,2739,2720,2983,3050,3908,2067,4123,0.0,False
selenium_project_summary,20,495,451,664,684,891,408,943,0.0,False
selenium_browse_projects_list,20,291,276,345,361,518,219,557,0.0,False
selenium_browse_boards_list,20,243,224,293,325,490,188,531,0.0,False
selenium_create_issue:open_quick_create,20,898,911,1035,1073,1082,707,1084,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,20,808,810,918,937,956,670,961,0.0,False
selenium_create_issue:fill_and_submit_issue_form,20,1477,1487,1605,1631,1702,1304,1720,0.0,False
selenium_create_issue,20,2376,2392,2636,2663,2683,2031,2688,0.0,False
selenium_edit_issue:open_edit_issue_form,20,492,490,592,622,676,342,690,0.0,False
selenium_edit_issue:save_edit_issue_form,20,714,682,799,822,1064,617,1125,0.0,False
selenium_edit_issue,20,1864,1811,1986,2039,2493,1589,2607,0.0,False
selenium_save_comment:open_comment_form,20,324,298,411,439,441,262,441,0.0,False
selenium_save_comment:submit_form,20,684,681,742,751,808,622,822,0.0,False
selenium_save_comment,20,1696,1832,1933,2005,2104,1181,2129,0.0,False
selenium_search_jql,20,994,832,1458,1517,1540,706,1546,0.0,False
selenium_view_scrum_board_backlog,20,1063,1088,1139,1157,1182,877,1188,0.0,False
selenium_view_scrum_board,20,1007,1003,1101,1112,1119,865,1121,0.0,False
selenium_view_kanban_board,20,990,996,1101,1105,1115,801,1118,0.0,False
selenium_view_dashboard,20,334,335,398,406,427,254,432,0.0,False
selenium_view_issue,20,537,551,621,621,626,376,627,0.0,False
selenium_log_out,20,487,451,521,562,964,394,1065,0.0,False
