Summary run status                                                     FAIL
               
Artifacts dir                                                          2025-05-09_09-49-33 
OS                                                                     Linux               
DC Apps Performance Toolkit version                                    8.7.0 (OK: Toolkit is up to date)
Application                                                            jira 10.3.4         
Dataset info                                                           121 issues          
Application nodes count                                                1                   
Available Processors                                                   1                   
Deployment                                                             other               
Concurrency                                                            2                   
Expected test run duration from yml file                               300 sec             
Actual test run duration                                               314 sec             
Finished                                                               (True, 'OK')        
Compliant                                                              (False, 'Test run duration 314 sec < than minimum test duration 2700 sec. Test run concurrency 2 < than minimum test concurrency 200.')
Success                                                                (True, 'OK')        
Has app-specific actions                                               False               

Action                                                                Success Rate        90th Percentile     Status              
jmeter_login_and_view_dashboard                                        100.0               0.52                OK                  
jmeter_view_issue                                                      100.0               0.34                OK                  
jmeter_search_jql                                                      100.0               0.44                OK                  
jmeter_view_dashboard                                                  100.0               0.26                OK                  
jmeter_browse_projects                                                 100.0               0.12                OK                  
jmeter_view_scrum_board                                                100.0               0.29                OK                  
jmeter_view_backlog                                                    100.0               0.29                OK                  
jmeter_view_kanban_board                                               100.0               0.26                OK                  
jmeter_create_issue:open_quick_create                                  100.0               0.05                OK                  
jmeter_edit_issue:open_editor                                          100.0               0.15                OK                  
jmeter_create_issue:fill_and_submit_issue_form                         100.0               0.23                OK                  
jmeter_edit_issue:save_edit                                            100.0               0.39                OK                  
jmeter_view_project_summary                                            100.0               0.24                OK                  
jmeter_add_comment:open_comment                                        100.0               0.14                OK                  
jmeter_add_comment:save_comment                                        100.0               0.4                 OK                  
jmeter_browse_boards                                                   100.0               0.13                OK                  
selenium_login:open_login_page                                         100.0               1.27                OK                  
selenium_login:login_and_view_dashboard                                100.0               1.71                OK                  
selenium_login                                                         100.0               2.98                OK                  
selenium_project_summary                                               100.0               0.66                OK                  
selenium_browse_projects_list                                          100.0               0.34                OK                  
selenium_browse_boards_list                                            100.0               0.29                OK                  
selenium_create_issue:open_quick_create                                100.0               1.03                OK                  
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form     100.0               0.92                OK                  
selenium_create_issue:fill_and_submit_issue_form                       100.0               1.6                 OK                  
selenium_create_issue                                                  100.0               2.64                OK                  
selenium_edit_issue:open_edit_issue_form                               100.0               0.59                OK                  
selenium_edit_issue:save_edit_issue_form                               100.0               0.8                 OK                  
selenium_edit_issue                                                    100.0               1.99                OK                  
selenium_save_comment:open_comment_form                                100.0               0.41                OK                  
selenium_save_comment:submit_form                                      100.0               0.74                OK                  
selenium_save_comment                                                  100.0               1.93                OK                  
selenium_search_jql                                                    100.0               1.46                OK                  
selenium_view_scrum_board_backlog                                      100.0               1.14                OK                  
selenium_view_scrum_board                                              100.0               1.1                 OK                  
selenium_view_kanban_board                                             100.0               1.1                 OK                  
selenium_view_dashboard                                                100.0               0.4                 OK                  
selenium_view_issue                                                    100.0               0.62                OK                  
selenium_log_out                                                       100.0               0.52                OK                  
