Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,679,415,3582,False
jmeter_view_issue,464,267,303,False
jmeter_search_jql,1036,626,686,False
jmeter_app_specific_action,1291,575,683,True
jmeter_browse_projects,178,96,105,False
jmeter_view_scrum_board,438,243,265,False
jmeter_view_kanban_board,480,274,285,False
jmeter_view_backlog,732,410,427,False
jmeter_edit_issue:open_editor,253,126,150,False
jmeter_edit_issue:save_edit,713,346,422,False
jmeter_create_issue:open_quick_create,131,74,103,False
jmeter_create_issue:fill_and_submit_issue_form,462,178,222,False
jmeter_view_dashboard,306,174,190,False
jmeter_view_project_summary,295,170,200,False
jmeter_add_comment:open_comment,193,101,117,False
jmeter_add_comment:save_comment,603,318,371,False
jmeter_browse_boards,194,114,116,False
selenium_login:open_login_page,1219,1189,1195,False
selenium_login:login_and_view_dashboard,3385,3171,3346,False
selenium_login,4591,4361,4573,False
selenium_project_summary,402,367,383,False
selenium_browse_projects_list,327,264,272,False
selenium_browse_boards_list,282,216,221,False
selenium_create_issue:open_quick_create,2015,2018,2060,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1923,1920,1940,False
selenium_create_issue:fill_and_submit_issue_form,2618,2566,2605,False
selenium_create_issue,4635,4531,4656,False
selenium_edit_issue:open_edit_issue_form,568,449,467,False
selenium_edit_issue:save_edit_issue_form,850,704,711,False
selenium_edit_issue,2252,1825,1912,False
selenium_save_comment:open_comment_form,267,218,221,False
selenium_save_comment:submit_form,800,558,588,False
selenium_save_comment,2873,2583,2680,False
selenium_search_jql,2187,2004,2126,False
selenium_view_scrum_board_backlog,2255,2188,2195,False
selenium_view_scrum_board,2047,2059,2073,False
selenium_view_kanban_board,2092,2112,2133,False
selenium_view_dashboard,293,235,247,False
selenium_view_issue,585,436,475,False
selenium_log_out,422,1061,1006,False
